district_code,no,pref_name,city_name,facility_name,facility_kana,facilty_en,address,facility_other_name,toilet_postion,lat,lng,count_male_total,count_male_urinal,count_male_jp_style,count_male_west_style,count_female_total,count_female_jp_style,count_female_west_style,count_all,count_jp_style_all,count_west_style_all,count_multifunctional,available_wheelchairl,available_baby,available_ostomate,available_from,available_to,available_time_info,image,image_licencce,remark
271004,"",大阪府,大阪市,大阪城公園　公衆トイレ９,大阪城公園　公衆トイレ９,"","","","",34.683548,135.5220168,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,大阪城公園　公衆トイレ１１,オオサカジョウコウエン　コウシュウトイレ１１,"","","","",34.6823719,135.5296489,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,大阪城公園　公衆トイレ１２,オオサカジョウコウエン　コウシュウトイレ１２,"","","","",34.6842623,135.5304297,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,大阪城公園　公衆トイレ１３,オオサカジョウコウエン　コウシュウトイレ１３,"","","","",34.6836266,135.5320905,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,大阪城公園　公衆トイレ１４,オオサカジョウコウエン　コウシュウトイレ１４,"","","","",34.682316899999996,135.5329778,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,大阪城公園　公衆トイレ１５,オオサカジョウコウエン　コウシュウトイレ１５,"","","","",34.6863409,135.5332284,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,大阪城公園　公衆トイレ１６,オオサカジョウコウエン　コウシュウトイレ１６,"","","","",34.6890647,135.5323398,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,大阪城公園　公衆トイレ１７,オオサカジョウコウエン　コウシュウトイレ１７,"","","","",34.6894274,135.5314713,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,大阪城公園　公衆トイレ１８,オオサカジョウコウエン　コウシュウトイレ１８,"","","","",34.6899008,135.52852240000001,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,花博記念公園鶴見緑地　公衆トイレ１,ハナハクツルミリョクチキネンコウエン　コウシュウトイレ１,"","","","",34.7165118,135.5760612,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,花博記念公園鶴見緑地　公衆トイレ２,ハナハクキネンコウエンツルミリョクチ　コウシュウトイレ２,"","","","",34.7163489,135.5779457,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,花博記念公園鶴見緑地　公衆トイレ３,ハナハクキネンコウエンツルミリョクチ　コウシュウトイレ３,"","","","",34.715269,135.5784692,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,花博記念公園鶴見緑地　公衆トイレ４,ハナハクキネンコウエンツルミリョクチ　コウシュウトイレ４,"","","","",34.7139251,135.5775758,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,花博記念公園鶴見緑地　公衆トイレ５,ハナハクキネンコウエンツルミリョクチ　コウシュウトイレ５,"","","","",34.7119927,135.5760572,"","","","","","","","","","","","","","","","","","","",""
